,Consumption (KWH)
2021-03-19,24477255.64322635
2021-03-26,17937144.219444506
2021-04-02,15836880.097340092
2021-04-09,14869230.75497891
2021-04-16,16126341.568891197
2021-04-23,15472699.35934529
2021-04-30,25115067.135763023
2021-05-07,14284587.76073938
2021-05-14,23793511.157132447
2021-05-21,23157902.94636515
2021-05-28,26308839.073714226
2021-06-04,20580645.864838783
2021-06-11,21246225.802437816
2021-06-18,24101340.25900917
2021-06-25,17487728.452396214
2021-07-02,19801412.35982493
2021-07-09,21942930.790296294
2021-07-16,22500553.397482567
2021-07-23,21985891.306312725
2021-07-30,18670669.22253317
2021-08-06,16283291.57132979
2021-08-13,25824038.899824318
2021-08-20,15688191.545312364
2021-08-27,15084027.16927222
2021-09-03,15150381.65165093
2021-09-10,16423117.2464208
2021-09-17,15158883.387343692
2021-09-24,11290239.06954589
2021-10-01,16583574.822824737
2021-10-08,15534378.056714138
2021-10-15,19097977.519760493
2021-10-22,11551469.531154757
2021-10-29,22402781.605488233
2021-11-05,12995442.59994779
2021-11-12,16265481.779213747
2021-11-19,16469417.883635974
2021-11-26,15179936.13171426
2021-12-03,27370051.60279565
2021-12-10,35575863.90102292
2021-12-17,31553337.34877808
2021-12-24,35715945.77740334
2021-12-31,30651841.689460784
2022-01-07,32006060.606279444
2022-01-14,29788991.073152956
2022-01-21,22327070.631106824
2022-01-28,19850562.30952645
2022-02-04,30735775.851007298
2022-02-11,30545386.835665766
2022-02-18,27381603.493800476
2022-02-25,15097728.44087396
2022-03-04,15388079.468655376
2022-03-11,17881457.40214848
2022-03-18,13688032.705736835
2022-03-25,16496909.492585354
2022-04-01,19092919.737146925
2022-04-08,13723217.636237925
2022-04-15,15910624.718616202
2022-04-22,19032734.62559284
2022-04-29,16419877.282406114
2022-05-06,22635071.18987487
2022-05-13,17529664.10942541
2022-05-20,24570400.927227687
2022-05-27,20980895.79347202
2022-06-03,17208648.318115138
2022-06-10,25992162.409800824
2022-06-17,20672175.464461863
2022-06-24,25823614.80762219
2022-07-01,23997018.130239207
2022-07-08,16983893.347316008
2022-07-15,25582191.910003982
2022-07-22,14537149.612440802
2022-07-29,14880119.069498433
2022-08-05,16862743.02604544
2022-08-12,16140002.929530736
2022-08-19,13441621.957140382
2022-08-26,15699943.617785003
2022-09-02,18098213.305618666
2022-09-09,16295567.019915363
2022-09-16,17088405.790651776
2022-09-23,18031403.447520755
2022-09-30,12814255.436293427
2022-10-07,15444073.364726948
2022-10-14,18030273.054043774
2022-10-21,16484567.103252653
2022-10-28,24790007.477976628
2022-11-04,16200517.297795309
2022-11-11,20385324.062923938
2022-11-18,15172902.95189648
2022-11-25,21743986.08671051
2022-12-02,26122918.790673766
2022-12-09,31803199.235934254
2022-12-16,26294863.97884081
2022-12-23,30065851.538399372
2022-12-30,26885559.723663416
2023-01-06,25929456.523162168
2023-01-13,27149380.13469684
2023-01-20,29999194.911004063
2023-01-27,32676930.09474488
2023-02-03,30123433.699554224
2023-02-10,26551828.62382884
2023-02-17,23410583.288431935
2023-02-24,27287975.48730082
2023-03-03,20865758.60043841
2023-03-10,15752709.729925416
2023-03-17,17115338.852774106
2023-03-24,13044381.820172198
2023-03-31,18068839.26806505
2023-04-07,12820879.339063227
2023-04-14,14939093.034461852
2023-04-21,17558491.284029365
2023-04-28,18072280.217976496
2023-05-05,18348986.756497275
2023-05-12,17310149.877035026
2023-05-19,22228812.29383414
2023-05-26,21271103.033926472
2023-06-02,18032414.28305444
2023-06-09,22871437.39918497
